,Breakdown,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017
0,Total Revenue,3855551.0,3855551.0,3253989.0,2967465.0,2553147.0
1,Credit Losses Provision,157091.0,157091.0,61690.0,76092.0,60181.0
2,Non Interest Expense,2364495.0,2364495.0,2059063.0,1839631.0,1580764.0
3,Pretax Income,1333965.0,1333965.0,1133236.0,1051742.0,912202.0
4,Tax Provision,269814.0,269814.0,202907.0,197914.0,154542.0
5,Net Income Common Stockholders,1005426.0,1005426.0,881259.0,796103.0,699620.0
6,Diluted NI Available to Com Stockholders,1005426.0,1005426.0,881259.0,796103.0,699620.0
7,Basic EPS,0,5.85,5.25,4.89,4.44
8,Diluted EPS,0,5.81,5.2,4.81,4.31
9,Basic Average Shares,0,171933.0,167908.0,162948.0,157624.0
10,Diluted Average Shares,0,173053.0,169551.0,165612.0,162340.0
11,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,3105461.0,3105461.0,2702477.0,2425016.0,2091282.0
12,Net Income from Continuing & Discontinued Operation,1064151.0,1064151.0,930329.0,853828.0,757660.0
13,Normalized Income,1064151.0,1064151.0,930329.0,853828.0,757660.0
14,Reconciled Depreciation,166079.0,166079.0,137639.0,114363.0,91954.0
15,Net Income from Continuing Operation Net Minority Interest,1064151.0,1064151.0,930329.0,853828.0,757660.0
16,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
17,Tax Effect of Unusual Items,0.0,0.0,0.0,0.0,0.0
