,0,1,2,3,4,5,6
0,Date,Open,High,Low,Close,Adj Close,Volume
1,2016-02-19,96.660004,97.300003,95.739998,97.250000,83.321266,2143300
2,2016-02-22,97.730003,99.480003,97.669998,98.750000,84.606430,1505900
3,2016-02-23,98.080002,99.239998,97.779999,98.830002,84.674973,1127300
4,2016-02-24,98.320000,99.120003,98.059998,98.900002,84.734947,1612400
5,2016-02-25,98.889999,99.440002,98.110001,98.910004,84.743523,1776100
6,2016-02-26,98.070000,98.070000,95.139999,95.559998,81.873329,2793600
7,2016-02-29,95.400002,97.620003,95.040001,96.510002,82.687263,2283100
8,2016-03-01,97.220001,97.349998,96.139999,96.570000,82.738655,1232400
9,2016-03-02,96.059998,97.449997,94.389999,97.430000,83.475494,1761800
10,2016-03-03,97.519997,98.870003,96.360001,98.559998,84.443634,1093700
11,2016-03-04,98.419998,98.860001,97.309998,97.860001,83.843918,1105300
12,2016-03-07,97.230003,97.849998,96.260002,97.400002,83.449791,1829400
13,2016-03-08,97.550003,98.589996,97.040001,98.339996,84.255157,1311000
14,2016-03-09,98.449997,99.739998,97.930000,98.870003,84.709251,999500
15,2016-03-10,98.750000,99.300003,97.150002,98.239998,84.169487,1170500
16,2016-03-11,98.940002,99.690002,98.769997,99.459999,85.214745,1356600
17,2016-03-14,99.430000,100.320000,98.720001,100.070000,85.737373,961100
18,2016-03-15,99.370003,100.389999,99.370003,100.199997,85.848747,1042600
19,2016-03-16,99.980003,101.000000,98.860001,100.620003,86.208603,1215300
20,2016-03-17,100.809998,103.250000,100.489998,103.040001,88.281990,1219700
21,2016-03-18,103.099998,103.959999,102.290001,103.230003,88.444786,2379500
22,2016-03-21,103.230003,103.339996,102.230003,102.900002,88.162056,1363600
23,2016-03-22,101.940002,103.150002,101.639999,102.739998,88.675583,1498400
24,2016-03-23,102.300003,102.529999,101.389999,101.830002,87.890160,1438200
25,2016-03-24,101.459999,102.769997,101.029999,102.550003,88.511620,865500
26,2016-03-28,102.739998,103.440002,102.139999,102.739998,88.675583,730100
27,2016-03-29,102.879997,104.320000,102.330002,104.150002,89.892578,949300
28,2016-03-30,104.699997,104.699997,103.099998,103.470001,89.305656,1221200
29,2016-03-31,103.379997,104.339996,103.379997,104.050003,89.806259,1265700
30,2016-04-01,103.919998,106.050003,103.379997,105.919998,91.420288,1695000
31,2016-04-04,105.589996,105.620003,104.940002,105.129997,90.738411,1376800
32,2016-04-05,104.550003,104.639999,102.959999,103.080002,88.969048,1191900
33,2016-04-06,102.849998,103.320000,102.099998,103.199997,89.072624,1072800
34,2016-04-07,102.730003,103.820000,102.379997,103.349998,89.202072,1161100
35,2016-04-08,103.639999,104.589996,103.639999,104.239998,89.970238,960000
36,2016-04-11,104.320000,104.870003,103.120003,103.320000,89.176193,887500
37,2016-04-12,103.529999,104.220001,103.019997,104.089996,89.840782,906000
38,2016-04-13,104.349998,104.430000,103.139999,103.970001,89.737206,766400
39,2016-04-14,103.959999,104.160004,103.459999,103.910004,89.685432,901800
40,2016-04-15,103.739998,104.959999,103.739998,104.599998,90.280968,824600
