,stock,date,time,heading,compound score
0,FRC,2021-03-18,09:51AM  ,First Republic Bank (FRC) Ratings and Outlook Affirmed by Moody's,0.0
1,FRC,2021-03-18,03:49AM  ,Is First Republic Bank's (NYSE:FRC) 154% Share Price Increase Well Justified?,0.8074
2,FRC,2021-03-17,06:44PM  ,"First Republic Bank -- Moody's affirms First Republic's ratings (Baa1 stable), outlook remains stable",0.296
3,FRC,2021-03-17,06:12PM  ,"First Republic Bank -- Moody's affirms First Republic's ratings (Baa1 stable), outlook remains stable",0.296
4,FRC,2021-03-15,09:00AM  ,Wealth Management Team Led by Andrew Vahab Joins First Republic,0.4939
5,FRC,2021-03-12,08:21AM  ,5 Reasons to Buy First Republic Bank (FRC) Stock Right Now,0.0
6,FRC,2021-03-02,09:23AM  ,"First Republic Bank's (FRC) Shares March Higher, Can It Continue?",0.296
7,FRC,2021-03-02,08:45AM  ,First Republic Bank Prices Common Stock Offering,0.0
8,FRC,2021-03-01,04:06PM  ,First Republic Bank Announces Common Stock Offering,0.0
9,FRC,2021-03-01,09:00AM  ,First Republic Bank Declares Dividends on Two Series of Perpetual Preferred Stock for First Quarter 2021,0.0
10,FRC,2021-02-23,05:27PM  ,"These Stocks Show Strength In IBD Stock Screener, Pass Buy Points Amid Market Turbulence",0.4939
11,FRC,2021-02-19,07:25PM  ,J.P. Morgan Mortgage Trust 2021-3 -- Moody's assigns provisional ratings to Prime RMBS issued by J.P. Morgan Mortgage Trust 2021-3,0.765
12,FRC,2021-02-19,07:10PM  ,Moody's assigns provisional ratings to Prime RMBS issued by J.P. Morgan Mortgage Trust 2021-3,0.5106
13,FRC,2021-02-17,09:13AM  ,Regional Bank ETFs Set Multi-Year High as Bond Yields Surge,0.0
14,FRC,2021-02-16,09:00AM  ,First Republic Bank to Present at the Raymond James Institutional Investors Conference,0.0
15,FRC,2021-02-13,11:30AM  ,Why Is First Republic Bank (FRC) Down 1.7% Since Last Earnings Report?,0.0
16,FRC,2021-02-08,12:22PM  ,Banks Are Taking Advantage of Low Rates to Issue Preferred Shares,0.2732
17,FRC,2021-02-08,09:00AM  ,Wealth Management Team Led by Michael Kramer Joins First Republic,0.4939
18,FRC,2021-02-08,08:30AM  ,First Republic Bank Issues Notice of Redemption of Series G Preferred Shares,0.296
19,FRC,2021-02-05,10:25AM  ,First Republic Bank -- Moody's announces completion of a periodic review of ratings of First Republic Bank,0.0
20,FRC,2021-02-01,11:30AM  ,First Republic (FRC) Gave Ensemble Capital Hefty Gains,0.34
21,FRC,2021-01-28,05:05PM  ,First Republic Bank Announces Pricing of $650 Million Series L Preferred Stock Offering,0.0
22,FRC,2021-01-28,08:42AM  ,First Republic Announces Series L Preferred Stock Offering,0.0
23,FRC,2021-01-27,11:05AM  ,Traders Look to Regional Banks for Growth,0.3818
24,FRC,2021-01-26,10:16AM  ,Understanding First Republic Bank's Ex-Dividend Date,0.0
25,FRC,2021-01-20,12:34PM  ,Weitz Partners: First Republic is a Powerful Unit Growth,0.6597
26,FRC,2021-01-14,02:43PM  ,A Look Into First Republic Bank's Price Over Earnings,0.0
27,FRC,2021-01-14,09:57AM  ,First Republic (FRC) Q4 Earnings Beat on Higher Revenues,0.0
28,FRC,2021-01-14,08:35AM  ,First Republic Bank (FRC) Q4 Earnings and Revenues Top Estimates,0.2023
29,FRC,2021-01-14,08:00AM  ,"First Republic Bank (San Francisco, California) to Host Earnings Call",0.0
30,FRC,2021-01-14,07:16AM  ,First Republic Bank: Q4 Earnings Insights,0.0
