,stock,date,time,heading,compound score
0,SRE,2021-02-16,12:08PM  ,SoCalGas Declares Preferred Dividends,0.0
1,SRE,2021-02-12,04:55AM  ,Sempra Energy's (NYSE:SRE) Stock Is Going Strong: Have Financials A Role To Play?,0.6908
2,SRE,2021-02-08,01:57PM  ,SoCalGas to Provide Over $1 Million to Fund Research & Development of Hydrogen to Fuel Commercial Transportation,0.0
3,SRE,2021-02-05,02:10PM  ,SoCalGas Offers Tips and Tools to Help Customers Save Money on their Utility Bills,0.7096
4,SRE,2021-02-04,05:00PM  ,Oncor To Release 2020 Results Feb. 25,0.0
5,SRE,2021-02-04,04:15PM  ,Sempra Energy To Report Year-End 2020 Earnings Feb. 25,0.2732
6,SRE,2021-02-03,07:00AM  ,Here Are 6 Utility Stocks With Reliably Fast-Growing Dividends,0.0
7,SRE,2021-02-02,05:26PM  ,Sempra Energy's IEnova Unit To Report Year-End 2020 Earnings Feb. 18,0.0
8,SRE,2021-02-02,02:16PM  ,"SoCalGas Supports NAACP College Scholarship Program with $75,000 Grant",0.6124
9,SRE,2021-02-01,04:15PM  ,Sempra Energy Named To Fortune Magazine's 'World's Most Admired Companies' List For 2021,0.6901
10,SRE,2021-01-29,12:21PM  ,SoCalGas Data Analytics Team Named Most Innovative in the U.S.,0.4927
11,SRE,2021-01-29,04:00AM  ,"With Natural Gas in Peril, Pipeline Owners Look to Hydrogen",-0.0516
12,SRE,2021-01-28,04:15PM  ,Sempra Energy Honored For Diversity And Inclusion Leadership By Bloomberg And Human Rights Campaign,0.7096
13,SRE,2021-01-27,01:00PM  ,SoCalGas Joins the San Gabriel Valley Council of Governments in Recognizing the Winners of the 2020 Energy Champion Awards,0.9022
14,SRE,2021-01-25,08:55PM  ,GCT Commercial Mortgage Trust 2021-GCT -- Moody's assigns provisional ratings to six CMBS classes of GCT Commercial Mortgage Trust 2021-GCT,0.765
15,SRE,2021-01-25,08:48PM  ,GCT Commercial Mortgage Trust 2021-GCT -- Moody's assigns provisional ratings to six CMBS classes of GCT Commercial Mortgage Trust 2021-GCT,0.765
16,SRE,2021-01-20,02:03PM  ,Top Utilities Stocks for February 2021,0.2023
17,SRE,2021-01-20,07:00AM  ,"Hershey, Allstate, and 8 Other Beaten-Down Stocks With Rising Earnings Prospects",0.296
18,SRE,2021-01-19,04:42PM  ,SoCalGas Awarded Los Angeles Area Chamber of Commerce's Corporate Member of the Year,0.4019
19,SRE,2021-01-14,10:11AM  ,"Benzinga's Top Ratings Upgrades, Downgrades For January 14, 2021",0.2023
20,SRE,2021-01-11,01:50PM  ,"SoCalGas Supports Climate Adaptation and Resiliency Planning with $150,000 in Grants to Local Governments",0.5267
21,SRE,2021-01-07,05:26AM  ,Did You Participate In Any Of Sempra Energy's (NYSE:SRE) Respectable 60% Return?,0.4404
22,SRE,2020-12-24,05:46PM  ,California Christmas Eve Blackout Ends as Winds Give Way to Rain,0.0
23,SRE,2020-12-22,01:30PM  ,"SoCalGas and The Salvation Army Partner to ""Rescue Christmas"" in Riverside County",0.5106
24,SRE,2020-12-22,01:15PM  ,"SoCalGas and LADWP Partner to Deliver 150,000 Energy and Water Efficiency Kits to Help the Environment and Save Customers Money and Energy",0.891
