,Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
0,Total Revenue,4692080.0,10950661.0,9493849.0,8777845.0
1,Cost of Revenue,3981367.0,6062765.0,5262207.0,4896579.0
2,Gross Profit,710713.0,4887896.0,4231642.0,3881266.0
3,Operating Expense,2641782.0,2805195.0,2336841.0,2137210.0
4,Operating Income,1931069.0,2082701.0,1894801.0,1744056.0
5,Net Non Operating Interest Income Expense,644954.0,381568.0,300872.0,269881.0
6,Other Income Expense,1551698.0,206467.0,221863.0,150958.0
7,Pretax Income,4127721.0,1907600.0,1815792.0,1625133.0
8,Net Income Common Stockholders,4157391.0,1878887.0,1811042.0,1625133.0
9,Diluted NI Available to Com Stockholders,4157391.0,1878887.0,1811042.0,1625133.0
10,Basic EPS,-,0.009000000000000001,0.0086,0.0076
11,Diluted EPS,-,0.009000000000000001,0.0086,0.0075
12,Basic Average Shares,-,209405.0,210570.0,214617.0
13,Diluted Average Shares,-,209930.0,211554.0,215694.0
14,Total Operating Income as Reported,3285583.0,2082701.0,1894801.0,1744056.0
15,Total Expenses,6623149.0,8867960.0,7599048.0,7033789.0
16,Interest Income,20951.0,26945.0,32800.0,30101.0
17,Interest Expense,665905.0,408513.0,333672.0,299982.0
18,Net Interest Income,644954.0,381568.0,300872.0,269881.0
19,Net Income from Continuing & Discontinued Operation,4157391.0,1878887.0,1811042.0,1625133.0
20,Normalized Income,4157391.0,1878887.0,1811042.0,1625133.0
21,EBIT,3461816.0,2316113.0,2149464.0,1925115.0
22,EBITDA,2178828.0,-,-,-
23,Reconciled Cost of Revenue,3981367.0,6062765.0,5262207.0,4896579.0
24,Reconciled Depreciation,1282988.0,1245942.0,1033697.0,951194.0
25,Net Income from Continuing Operation Net Minority Interest,4157391.0,1878887.0,1811042.0,1625133.0
26,Total Unusual Items Excluding Goodwill,-,-,-,0.0
27,Total Unusual Items,-,-,-,0.0
28,Normalized EBITDA,2178828.0,3562055.0,3183161.0,2876309.0
29,Tax Rate for Calcs,0.0,0.0,0.0,0.0
30,Tax Effect of Unusual Items,0.0,0.0,0.0,0.0
