,Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
0,Total Revenue,12297000.0,10829000.0,11687000.0,11207000.0
1,Cost of Revenue,7419000.0,6137000.0,7273000.0,6951000.0
2,Gross Profit,4878000.0,4692000.0,4414000.0,4256000.0
3,Operating Expense,2097000.0,2065000.0,2021000.0,1926000.0
4,Operating Income,2781000.0,2627000.0,2393000.0,2330000.0
5,Net Non Operating Interest Income Expense,955000.0,976000.0,819000.0,610000.0
6,Other Income Expense,700000.0,83000.0,528000.0,135000.0
7,Pretax Income,2526000.0,1734000.0,1046000.0,1585000.0
8,Tax Provision,467000.0,315000.0,96000.0,1276000.0
9,Earnings from Equity Interest Net of Tax,612000.0,580000.0,176000.0,42000.0
10,Net Income Common Stockholders,2472000.0,2055000.0,924000.0,256000.0
11,Diluted NI Available to Com Stockholders,2472000.0,2055000.0,924000.0,256000.0
12,Basic EPS,0,0.0074,0.0035,0.001
13,Diluted EPS,0,0.0073,0.0034,0.001
14,Basic Average Shares,0,277904.0,268072.0,251545.0
15,Diluted Average Shares,0,282033.0,269852.0,252300.0
16,Total Expenses,9516000.0,8202000.0,9294000.0,8877000.0
17,Interest Income,111000.0,101000.0,106000.0,49000.0
18,Interest Expense,1066000.0,1077000.0,925000.0,659000.0
19,Net Interest Income,955000.0,976000.0,819000.0,610000.0
20,Net Income from Continuing & Discontinued Operation,2616000.0,2198000.0,1050000.0,257000.0
21,Normalized Income,1826835.0,1652960.0,1507744.0,365600.0
22,EBIT,3592000.0,2811000.0,1971000.0,2244000.0
23,EBITDA,5200000.0,0,0,0
24,Reconciled Cost of Revenue,7419000.0,6137000.0,7273000.0,6951000.0
25,Reconciled Depreciation,1608000.0,1569000.0,1549000.0,1490000.0
26,Net Income from Continuing Operation Net Minority Interest,2461000.0,1835000.0,1050000.0,257000.0
27,Total Unusual Items Excluding Goodwill,778000.0,222000.0,504000.0,181000.0
28,Total Unusual Items,778000.0,222000.0,504000.0,181000.0
29,Normalized EBITDA,4422000.0,4158000.0,4024000.0,3915000.0
30,Tax Rate for Calcs,0.0,0.0,0.0,0.0
31,Tax Effect of Unusual Items,143835.0,39960.0,46256.0,72400.0
