,Breakdown,12/31/2019,12/31/2018,12/31/2017
0,Total Assets,30320284,27698270.0,22296317.0
1,Total Liabilities Net Minority Interest,18156438,16592809.0,11594014.0
2,Total Equity Gross Minority Interest,12163846,11105461.0,10702303.0
3,Total Capitalization,20577956,19460831.0,17053240.0
4,Common Stock Equity,12163846,11105461.0,10702303.0
5,Capital Lease Obligations,698617,-,-
6,Net Tangible Assets,10289627,9727108.0,10413791.0
7,Working Capital,6790268,5870121.0,3947236.0
8,Invested Capital,23198722,21883160.0,18241754.0
9,Tangible Book Value,10289627,9727108.0,10413791.0
10,Total Debt,11733493,10777699.0,7539451.0
11,Net Debt,10791138,10489847.0,7419339.0
12,Share Issued,236548,235848.0,235199.0
13,Ordinary Shares Number,208801,209017.0,213338.0
14,Treasury Shares Number,27747,26831.0,21861.0
