,Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
0,Operating Cash Flow,2906000,3088000,3447000,3625000
1,Investing Cash Flow,3204000,4593000,12557000,4700000
2,Financing Cash Flow,516000,1475000,9006000,1007000
3,End Cash Position,506000,217000,246000,364000
4,Income Tax Paid Supplemental Data,394000,254000,174000,172000
5,Interest Paid Supplemental Data,1023000,1051000,812000,619000
6,Capital Expenditure,3720000,3708000,3784000,3949000
7,Issuance of Capital Stock,767000,1830000,4530000,47000
8,Issuance of Debt,3985000,4296000,9174000,4509000
9,Repayment of Debt,3174000,3667000,3510000,2800000
10,Repurchase of Capital Stock,24000,26000,21000,15000
11,Free Cash Flow,814000,620000,337000,324000
