,Breakdown,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017
0,Total Revenue,14008000.0,13066000.0,14357000.0,14435000.0,12884000.0
1,Cost of Revenue,11474000.0,11126000.0,11711000.0,11706000.0,10270000.0
2,Gross Profit,2534000.0,1940000.0,2646000.0,2729000.0,2614000.0
3,Operating Expense,1220000.0,1120000.0,1222000.0,1147000.0,1069000.0
4,Operating Income,1314000.0,820000.0,1424000.0,1582000.0,1545000.0
5,Net Non Operating Interest Income Expense,156000.0,156000.0,151000.0,120000.0,133000.0
6,Other Income Expense,1268000.0,1290000.0,147000.0,128000.0,157000.0
7,Pretax Income,2426000.0,1954000.0,1126000.0,1334000.0,1255000.0
8,Tax Provision,109000.0,49000.0,132000.0,250000.0,223000.0
9,Earnings from Equity Interest Net of Tax,14000.0,83000.0,15000.0,23000.0,31000.0
10,Net Income Common Stockholders,2322000.0,1769000.0,990000.0,1067000.0,1355000.0
11,Average Dilution Earnings,35000.0,35000.0,0,0,0
12,Diluted NI Available to Com Stockholders,2322000.0,1804000.0,990000.0,1067000.0,1355000.0
13,Basic EPS,0,0,3.85,4.04,5.1
14,Diluted EPS,0,0,3.85,4.02,5.06
15,Basic Average Shares,0,0,256810.0,264410.0,265840.0
16,Diluted Average Shares,0,0,257390.0,265220.0,268030.0
17,Total Operating Income as Reported,2598000.0,2118000.0,1276000.0,1473000.0,1416000.0
18,Total Expenses,12694000.0,12246000.0,12933000.0,12853000.0,11339000.0
19,Net Income from Continuing & Discontinued Operation,2322000.0,1804000.0,990000.0,1067000.0,1355000.0
20,Normalized Income,2470036.0,1939800.0,1129920.0,1185260.0,1099060.0
21,Interest Income,13000.0,8000.0,13000.0,21000.0,7000.0
22,Interest Expense,169000.0,164000.0,164000.0,141000.0,140000.0
23,Net Interest Income,156000.0,156000.0,151000.0,120000.0,133000.0
24,EBIT,2595000.0,2118000.0,1290000.0,1475000.0,1395000.0
25,EBITDA,3319000.0,0,0,0,0
26,Reconciled Cost of Revenue,10898000.0,10506000.0,11140000.0,11184000.0,9841000.0
27,Reconciled Depreciation,724000.0,764000.0,717000.0,676000.0,546000.0
28,Net Income from Continuing Operation Net Minority Interest,2322000.0,1804000.0,990000.0,1067000.0,990000.0
29,Total Unusual Items Excluding Goodwill,155000.0,140000.0,159000.0,146000.0,133000.0
30,Total Unusual Items,155000.0,140000.0,159000.0,146000.0,133000.0
31,Normalized EBITDA,3474000.0,3022000.0,2166000.0,2297000.0,2074000.0
32,Tax Rate for Calcs,0.0,0.0,0.0,0.0,0.0
33,Tax Effect of Unusual Items,6964.0,4200.0,19080.0,27740.0,23940.0
