,0,1,2,3,4,5,6
0,Date,Open,High,Low,Close,Adj Close,Volume
1,2016-03-14,58.315170,58.968987,57.988266,58.725903,56.189117,1668053
2,2016-03-15,58.935455,59.555740,58.122379,59.497066,56.926956,1641091
3,2016-03-16,59.321037,60.754402,59.287510,60.469406,57.857304,3316301
4,2016-03-17,60.695724,61.483654,60.243084,61.274097,58.627232,3173261
5,2016-03-18,61.508801,61.634537,60.528080,60.888515,58.258308,3514459
6,2016-03-21,60.821461,60.972340,60.058678,60.653812,58.033741,2017482
7,2016-03-22,60.033527,61.642918,60.033527,61.408215,58.755562,2489433
8,2016-03-23,61.081306,61.282482,60.595139,60.804695,58.178104,2211941
9,2016-03-24,60.226318,60.846603,59.471920,60.662197,58.041763,2767402
10,2016-03-28,60.754402,61.131599,60.435875,60.569992,57.953541,1338427
11,2016-03-29,60.268230,62.003353,60.142498,61.961441,59.284878,1866926
12,2016-03-30,62.548199,63.587593,62.305115,62.791283,60.078884,2454836
13,2016-03-31,62.791283,63.595978,62.556580,62.883488,60.167099,2400435
14,2016-04-01,62.179379,62.590111,60.536465,61.768650,59.100418,2159688
15,2016-04-04,61.441746,61.592625,59.086338,59.371334,56.806660,4308042
16,2016-04-05,58.499580,59.966473,57.527241,59.522213,56.951019,2584396
17,2016-04-06,59.388096,60.092205,58.717518,60.067059,57.472340,2645597
18,2016-04-07,59.983234,61.081306,59.396481,59.681477,57.103405,3811516
19,2016-04-08,60.393967,61.316010,59.907795,60.008381,57.416191,1970478
20,2016-04-11,60.544846,61.391449,60.209557,60.871754,58.242268,2743661
21,2016-04-12,61.198658,61.341156,60.201176,60.645432,58.025726,2553855
22,2016-04-13,61.559093,64.107292,61.441746,64.056999,61.289917,4970277
23,2016-04-14,64.199493,65.129929,63.344509,64.702431,61.907475,3232434
24,2016-04-15,64.618607,64.911987,63.629505,63.889355,61.129513,3967679
25,2016-04-18,64.518021,64.551552,63.679798,64.132439,61.362095,1912618
26,2016-04-19,64.694046,64.886841,63.897736,64.350380,61.570625,2931320
27,2016-04-20,64.618607,64.853310,63.889355,64.233025,61.458347,2354028
28,2016-04-21,64.409050,64.803017,63.612740,63.704945,60.953072,1944232
29,2016-04-22,63.688183,63.839062,62.782902,63.478626,60.736530,2332554
30,2016-04-25,63.193630,63.805531,63.025986,63.738476,60.985153,1697758
31,2016-04-26,63.998325,65.305954,63.889355,65.272423,62.452839,1911783
32,2016-04-27,65.188599,65.381393,64.182732,64.559937,61.771130,2111610
33,2016-04-28,63.704945,63.864208,61.927914,62.858341,60.143040,2218622
34,2016-04-29,63.009220,63.009220,61.383068,61.718357,59.052303,2588810
35,2016-05-02,62.087173,62.087173,61.458508,61.785416,59.116459,2485019
36,2016-05-03,61.139984,61.944675,60.033527,61.332775,58.683369,2794960
37,2016-05-04,60.854988,61.609386,58.382229,58.751049,56.213169,6123192
38,2016-05-05,59.270744,59.572506,58.088852,58.097233,55.587597,3541898
39,2016-05-06,57.996647,59.237217,57.703270,59.061192,56.509914,2356652
40,2016-05-09,58.616932,59.237217,58.608551,58.692371,56.389114,1394498
41,2016-05-10,58.918694,59.891029,58.717518,59.765297,57.419937,1575476
42,2016-05-11,59.832355,60.058678,58.901928,58.910309,56.598499,1661253
43,2016-05-12,59.463535,59.715004,58.256496,58.398994,56.107250,1584901
44,2016-05-13,58.172672,58.809723,57.242245,57.393127,55.140865,1941250
45,2016-05-16,57.594299,57.820621,56.974014,57.485332,55.229443,2227570
46,2016-05-17,57.108131,57.275776,55.901089,56.211231,54.005341,3569098
