,stock,date,time,heading,compound score
0,APTV,2021-03-12,12:08PM  ,Heres Why Sound Shore Management is Long Aptiv PLC (APTV),0.0
1,APTV,2021-03-09,04:51PM  ,"'Halftime Report' Traders Advise Viewers On Aptiv, AT&T And More",0.0
2,APTV,2021-03-07,09:09PM  ,Volkswagen and ViacomCBS Are Reinventing Themselves. Thats Good for Their Stocks.,0.4404
3,APTV,2021-03-07,01:31AM  ,Aptiv (NYSE:APTV) Has Gifted Shareholders With A Fantastic 162% Total Return On Their Investment,0.5574
4,APTV,2021-03-05,11:30AM  ,Aptiv PLC (APTV) Up 3% Since Last Earnings Report: Can It Continue?,0.0
5,APTV,2021-03-04,06:20AM  ,Should You Invest in the First Trust NASDAQ Clean Edge Smart Grid Infrastructure ETF (GRID)?,0.8271
6,APTV,2021-02-28,10:32AM  ,Profit With These 7 Planet-Friendly Companies,0.4404
7,APTV,2021-02-27,07:00AM  ,Al Gores Investment Firm Bought Alibaba and Airbnb Stock. Heres What It Sold.,0.0
8,APTV,2021-02-26,03:40PM  ,Robert Olstein's Top Trades of the 4th Quarter,0.2023
9,APTV,2021-02-23,06:00AM  ,Aptiv Named One of World's Most Ethical Companies for Ninth Consecutive Year,0.5563
10,APTV,2021-02-17,10:57AM  ,Billionaire Ken Fishers 10 New Stock Picks,0.0
11,APTV,2021-02-10,06:20AM  ,Should You Invest in the First Trust NASDAQ Clean Edge Smart Grid Infrastructure ETF (GRID)?,0.8271
12,APTV,2021-02-03,02:11PM  ,Aptiv (APTV) Surpasses Q4 Earnings and Revenue Estimates,0.0
13,APTV,2021-02-03,01:30PM  ,Aptiv PLC (APTV) Q4 2020 Earnings Call Transcript,0.0
14,APTV,2021-02-03,08:05AM  ,Aptiv PLC (APTV) Q4 Earnings and Revenues Top Estimates,0.2023
15,APTV,2021-02-03,07:24AM  ,Recap: Aptiv Q4 Earnings,0.0
16,APTV,2021-02-03,06:45AM  ,Aptiv Reports Record Fourth Quarter Financial Results,0.0
17,APTV,2021-02-03,06:15AM  ,Aptiv Plc to Host Earnings Call,0.0
18,APTV,2021-02-02,08:36AM  ,Should You Buy Aptiv (APTV) Ahead of Earnings?,0.0
19,APTV,2021-02-01,09:55AM  ,6 Reasons Why You Should Invest in Aptiv (APTV) Stock Now,0.0
20,APTV,2021-02-01,08:19AM  ,Aptiv (APTV) to Post Q4 Earnings: What's in the Offing?,0.0
21,APTV,2021-01-25,10:14AM  ,What Awaits Automatic Data Processing (ADP) in Q2 Earnings?,0.0772
