Date,Open,High,Low,Close,Adj Close,Volume
3/14/16,63.810001,65.309998,63.810001,64.790001,64.62365,1858500
3/15/16,64.190002,65.900002,64.190002,65.720001,65.55127,2475900
3/16/16,65.629997,66.169998,64.57,66,65.830544,2210600
3/17/16,65.089996,65.75,63.240002,64.669998,64.50396,4905000
3/18/16,64.900002,65.32,63.82,64.32,64.154854,4186100
3/21/16,64.050003,64.400002,63.509998,63.939999,63.775833,2437100
3/22/16,63.700001,64.279999,63.27,63.869999,63.706013,2842700
3/23/16,63.900002,65.5,63.580002,65.050003,64.882988,3352400
3/24/16,64.599998,65.730003,64.07,64.239998,64.075058,3087800
3/28/16,64.129997,65.019997,63.599998,64.639999,64.474037,2305600
3/29/16,64.510002,66.379997,64.440002,66.029999,65.860466,3287500
3/30/16,66.730003,67.160004,66.279999,66.410004,66.239502,2458300
3/31/16,66.330002,67.099998,65.699997,66.110001,65.940262,2265000
4/1/16,65.360001,66.120003,65.129997,65.919998,65.750748,2160500
4/4/16,66,66.489998,65.379997,65.739998,65.571213,2029600
4/5/16,65.099998,65.959999,65.050003,65.449997,65.281952,2281800
4/6/16,65.669998,66.07,65.25,65.830002,65.660988,1652900
4/7/16,65.699997,65.910004,63.669998,63.93,63.765858,2921700
4/8/16,64.120003,64.699997,63.279999,64.239998,64.075058,2352000
4/11/16,64.389999,64.400002,63.119999,63.16,62.997837,1862900
4/12/16,63.139999,63.150002,61.900002,62.959999,62.798351,2960800
4/13/16,63.040001,65.029999,62.91,64.769997,64.603706,3106700
4/14/16,64.849998,65.239998,64.43,64.940002,64.77327,2100600
4/15/16,65.139999,66.970001,64.459999,66.839996,66.668388,4647400
4/18/16,66.279999,66.559998,65.459999,66.519997,66.349205,2847200
4/19/16,66.589996,66.739998,65.330002,66.190002,66.020058,1903500
4/20/16,66.599998,66.739998,65.699997,65.800003,65.631065,1804400
4/21/16,65.830002,66.330002,65.230003,66.18,66.010086,1741700
4/22/16,65.900002,66.849998,65.32,65.870003,65.700882,2606400
4/25/16,65.43,66,65.419998,65.93,65.760719,1153300
4/26/16,65.970001,66.290001,65.169998,65.330002,65.16227,1516800
4/27/16,65.129997,65.419998,62.349998,63.349998,63.187347,5537400
4/28/16,63.119999,64.019997,61.91,62.32,62.159992,4233500
4/29/16,61.810001,62.419998,61.23,61.849998,61.6912,3729200
5/2/16,62,63.119999,61.700001,62.889999,62.728531,3360400
5/3/16,62.610001,63.23,62.02,62.080002,61.920612,3230100
